title,price,url,brand,badges,sale_price,image
Chemex 6 Cup Coffee Maker - Classic & Glass Handle Styles,47.03,https://prima-coffee.com/equipment/chemex/6-cup-chemex,Chemex,['On Sale'],49.5,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7762/images/87684/chemex-6-cups-classic__15623.1597177401.1280.1280.jpg?c=1
Chemex 8 Cup Coffee Maker - Classic & Glass Handle Styles,48.93,https://prima-coffee.com/equipment/chemex/8-cup-chemex,Chemex,['On Sale'],51.5,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7777/images/87732/chemex-8-cup-classic__01929.1597177527.1280.1280.jpg?c=1
AeroPress Go Travel Coffee Maker,49.95,https://prima-coffee.com/equipment/aeropress/10r11-aerop-sp,AeroPress,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9961/images/91166/Front__99589.1602860245.1280.1280.jpg?c=1
AeroPress Coffee Maker (Clear),49.95,https://prima-coffee.com/equipment/aeropress/aeropress-clear-aerop-sp,AeroPress,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11267/images/95083/AeroPress_Clear_WBG__35397.1685125682.1280.1280.jpg?c=1
Fetco B015280BN2 16 in. x 6 in. Plastic Brew Basket,49.99,https://prima-coffee.com/equipment/fetco/b015280bn2,Fetco,['Free Shipping'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7878/images/88124/fetco-basket-large-wbg__94490.1597178835.1280.1280.jpg?c=1
Fetco B014218BN2 13 in. x 5 in. Plastic Brew Basket,49.99,https://prima-coffee.com/equipment/fetco/b014218bn2,Fetco,['Free Shipping'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7877/images/88121/fetco-basket-small-wbg__11791.1597178829.1280.1280.jpg?c=1
Chemex 10 Cup Coffee Maker - Classic & Glass Handle Styles,50.83,https://prima-coffee.com/equipment/chemex/10-cup-chemex,Chemex,['On Sale'],53.5,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7439/images/87294/chemex-10-cup-classic-copy__15582.1597176097.1280.1280.jpg?c=1
Yama BN-1 Butane Burner for Siphon Brewer,51.0,https://prima-coffee.com/equipment/yama/bn1,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7907/images/88267/yama-bn1-butane-burner-siphon-brewer-wbg__29559.1597179190.1280.1280.jpg?c=1
Hario V60 Buono Kettle - Japanese Made,52.5,https://prima-coffee.com/equipment/hario/vkb-120hsv,Hario,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8475/images/90638/hario-bouno-kettle-cse__74458.1597184844.1280.1280.jpg?c=1
Tricolate Coffee Brewer,52.99,https://prima-coffee.com/equipment/tricolate/trcltbrwr-trico-sp,Tricolate,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10088/images/92196/new-tricolate-web-6__25091.1646851195.1280.1280.jpg?c=1
Etkin Ceramic Coffee Dripper,55.0,https://prima-coffee.com/equipment/etkin/etkin-8-cup-dripper-etkin-sp,Etkin,['On Sale'],65.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11165/images/94888/Etkin-Ceramic-Coffee-Dripper-WBG-1_1__80857.1679933107.1280.1280.jpg?c=1
Oxo 6lb Precision Scale with Timer,55.99,https://prima-coffee.com/equipment/oxo/11212400-oxo-sp,OXO,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9945/images/91028/419f06f6-a84c-4e8f-99cb-2dccb4f58c04__44123.1601923227.1280.1280.jpg?c=1
OptiPure Water Test Kit,59.0,https://prima-coffee.com/equipment/optipure/180-80180,OptiPure,['Out Of Stock'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7640/images/87420/optipure-water-test-kit-wbg__89742.1597176470.1280.1280.jpg?c=1
Curtis WC-3422 Plastic Brew Cone Assembly with Splash Pocket,59.99,https://prima-coffee.com/equipment/curtis/wc-3422,Curtis,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8496/images/90728/wc-3422__03202.1597185033.1280.1280.jpg?c=1
Litmus Coffee UFO Spray Head for Curtis Batch Brewers,60.0,https://prima-coffee.com/equipment/litmus-coffee-labs/ufo-curtis-li-co-sp,Litmus Coffee Labs,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8436/images/90480/litmus-ufo-sprayhead-curtis-front__26453.1597184529.1280.1280.jpg?c=1
Hario Drip Scale,60.0,https://prima-coffee.com/equipment/hario/vst-2000-hario-pp,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8483/images/90677/hario-drip-scale__76652.1597184903.1280.1280.jpg?c=1
Hario Switch Immersion Dripper Server Set,60.5,https://prima-coffee.com/equipment/hario/ssd-5012-b-hario-sp,Hario,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10553/images/92845/hario-switch-server-set-1__70727.1639157815.1280.1280.jpg?c=1
Peak Water Pitcher Starter Pack,62.0,https://prima-coffee.com/equipment/peak-water/pwj001-pe-wa-sp,Peak Water,"['Recommended', 'Free Shipping']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9989/images/91300/peak-water-3__35312.1603998188.1280.1280.jpg?c=1
Yama Coffee Vacpot 5 Cup Stovetop Siphon/Syphon,63.0,https://prima-coffee.com/equipment/yama/sy-5bk,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8399/images/90371/yama-5-cup-stovetop__51492.1597184131.1280.1280.jpg?c=1
Timemore Black Mirror Basic 2 Coffee and Espresso Scale,65.0,https://prima-coffee.com/equipment/timemore/if11140026-timem-sp,Timemore,['Out Of Stock'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9930/images/92100/timemore-black-mirror-basic-plus-scale-wbg-4__79073.1623963677.1280.1280.jpg?c=1
Kalita Wave Style Set,67.2,https://prima-coffee.com/equipment/kalita/35159,Kalita,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7709/images/87553/kalita-wave-style-set-assembly__31482.1597177000.1280.1280.jpg?c=1
