title,price,url,brand,badges,sale_price,image
Barista Hustle Tamper with Case - 58.4 mm,$49.95,https://prima-coffee.com/equipment/barista-hustle/3001mb58-ba-hu-sp,Barista Hustle,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7443/images/87479/barista-hustle-tamper-overview__93694.1617646033.1280.1280.jpg?c=1
Espazzola Grouphead Cleaning Tool,$37.95,https://prima-coffee.com/equipment/protonea-senger/espazzola-red,Protonea Senger,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8074/images/88814/espazzola-gasket-head-cleaning-tool-studio__85297.1597951686.1280.1280.jpg?c=1
Yama Cold Coffee Brewer - 32 oz.,$310.00,https://prima-coffee.com/equipment/yama/yamcdm8c,Yama,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8807/images/90846/yama-cdm-8__17823.1597185350.1280.1280.jpg?c=1
Rhino Coffee Gear Square Knock Chute,$62.95,https://prima-coffee.com/equipment/rhino-coffee-gear/rwkc,Rhino Coffee Gear,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8348/images/90158/rhinowares-coffee-knock-chute-wbg__09808.1597183578.1280.1280.jpg?c=1
Yama Coffee Vacpot 5 Cup Stovetop Siphon/Syphon,$63.00,https://prima-coffee.com/equipment/yama/sy-5bk,Yama,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8399/images/90371/yama-5-cup-stovetop__51492.1597184131.1280.1280.jpg?c=1
Curtis 12 1/2 x 4 in. Filters for GemX Coffee Brewers - 500 Count,$34.99,https://prima-coffee.com/equipment/curtis/gem-6,Curtis,"['Free Shipping', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8120/images/89020/gem-6__06704.1597181115.1280.1280.jpg?c=1
Kalita Thin Spout Kettle - 700mL,$75.00,https://prima-coffee.com/equipment/kalita/52055,Kalita,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7747/images/87654/kalita-thin-spout-kettle-side1__04538.1597177308.1280.1280.jpg?c=1
64 oz AirScape Coffee Storage Container,$36.00,https://prima-coffee.com/equipment/planetary-design/airscape-bl-l,Planetary Design,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7844/images/93101/Airscape_Stainless_CoffeeCanister_Matte_Black_AS1707_02_web__09410.1646240640.1280.1280.jpg?c=1
Curtis ThermoPro 1.5 Gallon Stainless Vacuum Server,$319.99,https://prima-coffee.com/equipment/curtis/txsg1501s600,Curtis,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8435/images/90479/curtis-thermopro-one-half-gallon-server__62944.1597184519.1280.1280.jpg?c=1
"Revolution Easy Steam Thermometer, 5"" Stem",$14.99,https://prima-coffee.com/equipment/revolution/11160-revol-sp,Revolution,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7615/images/91355/thermometer-1__25311.1618861006.1280.1280.jpg?c=1
Chemex and Reusable Kone Stainless Steel Filter,$81.99,https://prima-coffee.com/equipment/prima-coffee/pcc-1-prima-bp,Prima Coffee,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8294/images/89863/chemex-reusable-filter__09915.1597182980.1280.1280.jpg?c=1
Bellman Stovetop Steamer,$90.00,https://prima-coffee.com/equipment/bellman/50ss,Bellman,"['Free Shipping', 'Clearance']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7741/images/91592/bellman-wbg-1__65593.1634740146.1280.1280.jpg?c=1
Cafelat Corner Tamping Mat,$22.00,https://prima-coffee.com/equipment/cafelat/cfl068,Cafelat,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7981/images/96611/Cafelat-Corner-Tamping-Mat-WBG__14978.1741958246.1280.1280.png?c=1
Luminaire Automatic Shot Timer,$89.00,https://prima-coffee.com/equipment/luminaire-coffee/shot-timer,Luminaire Coffee,"['Free Shipping', 'Recommended']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8371/images/90221/luminaire-auto-shot-timer-wbg-studio__39078.1597183781.1280.1280.jpg?c=1
Curtis G4 ThermoPro 1.5 Gallon Single Coffee Brewer,"$1,689.99",https://prima-coffee.com/equipment/curtis/g4tp2s63a3100,Curtis,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8116/images/89009/curtis-g4-one-half-gallon-brewer-single__05415.1597181061.1280.1280.jpg?c=1
"Hario Coffee Brown Paper Filter Size 02 for V60 Brewer, 40 Count (Un-tabbed)",$6.00,https://prima-coffee.com/equipment/hario/vcf-02-40m-hario-sp,Hario,"['Recommended', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11070/images/94123/hario-v60-40count-wbg__47220.1721912594.1280.1280.jpg?c=1
